id,rouge1,rouge2,rougel,bertscore_precision,bertscore_recall,bertscore_f1,method
56,0.32492997198879553,0.07303370786516854,0.13725490196078433,0.547565221786499,0.6370003819465637,0.5889066457748413,BERTScore-deberta-xlarge-mnli
57,0.23694267515923567,0.04086845466155812,0.1248407643312102,0.5287821292877197,0.5815894603729248,0.5539300441741943,BERTScore-deberta-xlarge-mnli
58,0.3138121546961326,0.062015503875968984,0.1414364640883978,0.5412633419036865,0.618431031703949,0.5772797465324402,BERTScore-deberta-xlarge-mnli
59,0.39457831325301207,0.13293051359516617,0.20481927710843376,0.5710700154304504,0.6503761410713196,0.608148455619812,BERTScore-deberta-xlarge-mnli
60,0.31098430813124106,0.12303290414878397,0.17403708987161198,0.5438507795333862,0.6279294490814209,0.5828737020492554,BERTScore-deberta-xlarge-mnli
61,0.43544303797468353,0.18829516539440205,0.23797468354430384,0.6267133355140686,0.7457050085067749,0.681050717830658,BERTScore-deberta-xlarge-mnli
62,0.3633841886269071,0.13351877607788595,0.17753120665742023,0.5665168166160583,0.6330909729003906,0.5979565382003784,BERTScore-deberta-xlarge-mnli
63,0.3841059602649007,0.07095343680709534,0.15894039735099338,0.6514102220535278,0.6362627148628235,0.6437473893165588,BERTScore-deberta-xlarge-mnli
64,0.41350210970464135,0.15677966101694915,0.24472573839662445,0.6479361653327942,0.7366380095481873,0.6894457936286926,BERTScore-deberta-xlarge-mnli
65,0.4572748267898383,0.18561484918793503,0.2586605080831409,0.6128162741661072,0.6236038208007812,0.618162989616394,BERTScore-deberta-xlarge-mnli
66,0.4777327935222672,0.18292682926829268,0.2348178137651822,0.6533777713775635,0.6978050470352173,0.6748610138893127,BERTScore-deberta-xlarge-mnli
67,0.34314980793854033,0.13350449293966624,0.1792573623559539,0.5486716032028198,0.6241512894630432,0.5839825868606567,BERTScore-deberta-xlarge-mnli
68,0.17796610169491525,0.01702127659574468,0.08050847457627118,0.48358166217803955,0.5744553208351135,0.525115966796875,BERTScore-deberta-xlarge-mnli
69,0.24091778202676864,0.07471264367816091,0.12045889101338432,0.43420928716659546,0.5475101470947266,0.484321653842926,BERTScore-deberta-xlarge-mnli
70,0.4074074074074074,0.0929368029739777,0.18888888888888888,0.6059815883636475,0.6738409399986267,0.6381121873855591,BERTScore-deberta-xlarge-mnli
71,0.30952380952380953,0.09018567639257295,0.15608465608465608,0.5615202784538269,0.6152677536010742,0.5871666073799133,BERTScore-deberta-xlarge-mnli
72,0.49535603715170284,0.2080745341614907,0.21362229102167182,0.6470462083816528,0.6808666586875916,0.6635257601737976,BERTScore-deberta-xlarge-mnli
73,0.43243243243243246,0.10843373493975902,0.17117117117117117,0.6249333024024963,0.6389382481575012,0.6318581700325012,BERTScore-deberta-xlarge-mnli
74,0.35406698564593303,0.0992,0.1722488038277512,0.5852853655815125,0.6475721597671509,0.6148553490638733,BERTScore-deberta-xlarge-mnli
75,0.38031914893617014,0.11999999999999998,0.18085106382978722,0.5809110403060913,0.6408306956291199,0.609401524066925,BERTScore-deberta-xlarge-mnli
76,0.4469589816124469,0.11631205673758867,0.19519094766619519,0.6118979454040527,0.6521503925323486,0.6313832998275757,BERTScore-deberta-xlarge-mnli
